filename,experience_level,grs,respect_for_tissue,suture_needle_handling,time_and_motion,flow_of_operation,overall_performance,quality_of_final_product,file,mean_path_length,mean_economy_of_motion,mean_rms_jerk,mean_smoothness_score,mean_duration_s
Needle_Passing_B001,N,8,1,1,1,2,1,2,Needle_Passing_B001.txt,0.8377698085085515,0.7467184276875003,1.6354652752921692,-12.935855511313386,114.56666666666666
Needle_Passing_B002,N,8,1,1,1,2,1,2,Needle_Passing_B002.txt,0.676889419122767,0.4529890574999997,1.317279891975843,-12.72654829902657,105.86666666666666
Needle_Passing_B003,N,14,2,2,2,3,2,3,Needle_Passing_B003.txt,0.5771651396882149,0.3684088895625,1.2006579328556497,-12.836476726002903,107.9
Needle_Passing_B004,N,19,3,3,3,4,3,3,Needle_Passing_B004.txt,0.4832398565098668,0.2731585798124996,1.1279172559400443,-12.634139850864344,96.23333333333332
Needle_Passing_C001,I,11,1,2,1,3,2,2,Needle_Passing_C001.txt,1.328609630106031,2.600828322468749,2.581238007284822,-13.522253943019509,143.73333333333332
Needle_Passing_C002,I,9,1,1,1,3,1,2,Needle_Passing_C002.txt,1.309282745483439,3.0861777279375,2.9941858795685,-13.204086048749517,120.4
Needle_Passing_C003,I,7,1,1,1,2,1,1,Needle_Passing_C003.txt,1.403939890159215,3.085706319749999,3.0315113398567,-13.12273832711944,119.03333333333332
Needle_Passing_C004,I,12,1,2,1,3,2,3,Needle_Passing_C004.txt,0.8941507423771875,2.173027014,3.2572339257726823,-12.57547374882178,81.0
Needle_Passing_C005,I,12,1,2,1,3,2,3,Needle_Passing_C005.txt,0.940430902919022,1.9313257764375005,2.92757716853746,-12.569109636265315,85.2
Needle_Passing_D001,E,9,1,1,1,2,1,3,Needle_Passing_D001.txt,1.2607482062337336,1.4332591650937507,1.7646694427647749,-13.438042463519484,155.0
Needle_Passing_D002,E,11,1,2,1,3,2,2,Needle_Passing_D002.txt,0.8135316776760453,0.9139120380000004,1.711698319422732,-12.883576418320075,109.46666666666668
Needle_Passing_D003,E,10,1,2,1,3,2,1,Needle_Passing_D003.txt,1.0070081962790898,1.4091355830937498,2.128339651974692,-12.84781270729391,107.76666666666668
Needle_Passing_D004,E,12,2,2,1,3,2,2,Needle_Passing_D004.txt,0.9498270785160158,1.1500668765000004,2.1559094837051607,-12.44914464309128,90.3
Needle_Passing_D005,E,13,2,2,1,3,2,3,Needle_Passing_D005.txt,0.6272409577426912,0.7747418204999997,2.0495989055410675,-12.126745073005628,70.76666666666667
Needle_Passing_E001,E,13,2,2,2,3,2,2,Needle_Passing_E001.txt,1.004992677484025,1.0472047655625003,1.9524278433346265,-12.78953249071171,108.5
Needle_Passing_E003,E,13,3,2,1,3,2,2,Needle_Passing_E003.txt,1.02331363283717,1.2007580096249997,1.9876909247809504,-12.912912836595028,113.76666666666668
Needle_Passing_E004,E,14,2,3,1,3,2,3,Needle_Passing_E004.txt,0.76165471201963,0.6563159991562498,1.5050188418652095,-12.899431457687012,112.5
Needle_Passing_E005,E,17,3,3,2,3,3,3,Needle_Passing_E005.txt,0.8015690287116044,0.7587929348437503,1.6282564270373077,-12.883623080944387,110.83333333333331
Needle_Passing_F001,I,22,3,4,3,4,4,4,Needle_Passing_F001.txt,0.7193514833684773,1.00767648796875,2.4309920710387782,-11.824784598275356,62.333333333333336
Needle_Passing_F003,I,15,1,4,3,4,2,1,Needle_Passing_F003.txt,1.0134446204246,2.0946207259687504,3.2943336966575165,-12.355164514338728,77.36666666666666
Needle_Passing_F004,I,24,4,4,4,4,4,4,Needle_Passing_F004.txt,0.821060726890772,1.5376747665937502,3.0237049881743285,-11.780558478225403,59.53333333333333
Needle_Passing_H002,N,19,3,3,2,4,3,4,Needle_Passing_H002.txt,1.1200081152791097,2.4953598500625,3.082200486599856,-13.413204307397336,123.33333333333331
Needle_Passing_H004,N,20,3,3,3,4,3,4,Needle_Passing_H004.txt,0.8997670013099298,1.0700142482812498,1.8215881695035403,-13.124880044672288,121.73333333333332
Needle_Passing_H005,N,21,3,4,3,4,3,4,Needle_Passing_H005.txt,0.8382879331732982,1.1345204621250005,1.933900230893519,-12.98437512046202,110.5
Needle_Passing_I002,N,12,1,3,2,3,2,1,Needle_Passing_I002.txt,1.1115149973841718,1.3858023315937498,2.1344614141494183,-12.925518220079804,114.73333333333332
Needle_Passing_I003,N,14,2,2,2,3,2,3,Needle_Passing_I003.txt,1.3401932719753804,1.5773418056249993,1.9450478129639224,-13.526599474101562,158.66666666666666
Needle_Passing_I004,N,18,2,3,2,4,3,4,Needle_Passing_I004.txt,1.0707901426166997,1.4983134384374996,2.204520307912893,-13.36058071173936,132.56666666666666
Needle_Passing_I005,N,23,4,4,3,4,4,4,Needle_Passing_I005.txt,1.00606110658909,1.2873278868749995,2.0961018268963,-12.972168384539511,113.73333333333332
